review_id,order_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp
a36150969fe6bd09ed011dd78aeb0189,ef1b29b591d31d57c0d7337460dd83c9,1,,"Demora na entrega, detestei o atendimento e NUNCA mais compro. baratheon quando vendia por eles mesmos era bem melhor! ",2016-11-02,2016-11-03 12:04:24
06009761376fbf566833ebeaed5cad5c,64f5569ef96004a1e1137bdf28fd4c45,5,,"Ótimo vendedor, ótimo produto chegou no prazo certo eu recomendo",2016-11-01,2016-11-02 10:26:40
93eaa9fa0159c008eb11af3fff3b1338,84d8cb80e8228cbea6d970499c3ce3c3,5,,Produto original e lacrado. Nota 10.,2016-11-01,2016-11-01 22:05:17
57998f6fb9bff624291f11c44033bf57,03128233e78ed8ade6738f2043f4cf8d,4,,"Pela experiencia de compras no Mercado Livre, acho que a entrega via Correios poeria ser mais rápida(postagem).",2016-11-01,2016-11-02 23:07:34
7ebcbd71169c0b8b863dd503b9dca63c,80606b26965c5ed21e85a085e0667b63,5,,Satisfeita!,2016-11-19,2016-11-24 00:48:31
66e993fb29cd3cd3914a7a2b9c366731,e4ccaabafa125b3b39a9331b0abced9d,5,,"Chegou bem antes do prazo, é o produto é de excelente qualidade! ",2016-11-01,2016-11-03 20:19:42
af980ca9bafbc96e2fbb0576a76310a7,7cb5aaf8b7b7b439174c2e4efdf4c7a3,1,,"Paguei pelo produto e não recebi mas no sistema está como produto entregue em São Paulo e moro em Faxinla dos Guedes -SC. 
como assim ????
quero meu dinheiro devolta",2016-11-08,2016-11-08 10:01:52
de9f64e09412ae0a405eeaf126e4dd0d,966f96af9d189dc428ff04ebbca821b8,5,,"Produto excelente e prazo de entrega ótimo.
Recomendo.
Parabéns pela seriedade e compromisso.",2016-11-26,2016-11-28 12:50:21
b2a3bd080217f589d4ddfe533ec7fb31,893dc49276696129a9bf6f2a9fe23e57,5,,,2016-11-04,2016-11-06 23:04:33
f9fe37d91c506b29a0b4d9107f667bde,65d1e226dfaeb8cdc42f665422522d14,1,,"O produto foi comprado em 10/10/2016, não chegou e agora recebo esta avaliação perguntando o que achei. 
Muito insatisfeita!",2016-11-09,2016-11-09 21:04:42
eea04af75e81c41d7ff59afecb666edb,92d731517f17c26f16182d45498c4c3d,1,,"Comprei dois mascotes do boneco Tom , das Olimpíadas e depois de quase dois meses essa empresa "" parceira "" mandou e mail dizendo que a compra foi cancelada !Paguei à vista , com boleto. Nunca mais",2016-11-18,2016-11-18 23:38:40
b212b7df25b4bd6fdc43df8e43c6ed3c,b0cfee6ce5503781be6004e0e31e4309,4,,Gostei chegou no prazo e o atendimento fui ótimo recomendo ,2016-11-30,2016-11-30 19:39:33
c5a815f89971cd69e828bc8c2d992524,8d47519f5c9c42540b37bd3db0492878,1,,"Demora absurda na entrega do produto, isso é se eu vou recebeR ele né ",2016-11-08,2016-11-08 23:45:47
3388a00080894e49e5299e6880a149e0,05bfcf9e287cad216cadb8a850f8db5c,5,,DEMOROU 1 POUCO ...MAS CHEGOU CERTO....OBG,2016-11-08,2016-11-09 10:32:07
657654f17abc5a7ce8290f148efb3dd3,a41c8759fbe7aab36ea07e038b2d4465,3,,,2016-11-04,2016-11-04 23:45:17
580066f61102553a84525b7a5ebbb4a3,5226f1a731e8a1215da5e1bea64e2130,1,,"Me deram o prazo de 26 dias, para entrega, e restando 4, me informam que não seria possível, a entrega de meu produto.. Simplesmente ridículo.. ",2016-11-23,2016-11-26 02:30:52
843acce35ffed0c646c20d64550db7ab,dd11631d8b02780b78bd97ec44a1ca8c,5,,Super recomendo; entregraram no tempo certo !,2016-11-05,2016-11-07 11:32:49
be38ead76ec3449b66af9b572add59e0,4fb7f38042d214ada4d81cc23d228cc8,5,,"Recomendo, porém, o prazo máximo de entrega é muito extenso, sendo um único ponto que deixa a desejar.",2016-11-17,2016-11-21 18:40:34
d6bf917f19cd51622bf95a1e686a779e,7a7d2c889e27d93b2005462a8788e168,1,,,2016-11-01,2016-11-03 02:12:04
ee2a725b65382d6ba40b74c2142dcc89,bb9fd560a08ca7403789dedaca85da14,5,,,2016-11-06,2016-11-06 19:50:04
10360cbb383db4c9faef0538c7eb51d3,0c22166d9f7e5761e397affa5af438c7,5,,,2016-11-01,2016-11-03 10:58:51
5d81c62be8e72b14a0c9b208ffeb5d5d,6e0d2539e48e84296bae6290de41058c,5,,,2016-11-18,2016-11-19 10:01:20
94cd1042a721bd3cd16a0e2379c5a95f,d01f0aba52a4d7b2cca8d7623538a434,4,,muito bom gostei,2016-11-11,2016-11-11 23:15:08
0b637962a16eb130be75783b53f7fa6d,60856ac7677a70cd87ad25d9b34d051b,1,,produto não chegou não tive nenhuma resposta do vendedor ate hj a nota foi faturada no dia 4/11/2016 com previsao de chegada para dia 28/11/2016 ate agora nem produto e nem posiçao do venddedor,2016-11-30,2016-12-05 17:20:27
fc0ad46a8b1440ddc627bd67b62a5258,6460e331ee8f69c01f1423cca48d9991,4,,Demorou mas chegou,2016-11-25,2016-11-28 11:36:38
f3002484bca14929da6f0210517ddd84,39d0be719247e3b3a38846ba810197ea,5,,"Produto bem embalado, novo, do modelo q pedi.",2016-11-08,2016-11-09 14:31:04
f837bc2ce327c43a4a00f1c8d44fb3fe,ddaec6fff982b13e7e048b627a11d6da,1,,"Nunca chegou o produto, deram uma excusa e trocaram o valor porcum vale.",2016-11-20,2016-11-20 12:49:39
92a8ee9e8694c9d013b18a6b3a7f21dc,63638a6806d67773f3adba8534553fff,5,,Compro e recomendo.,2016-11-26,2016-11-29 13:58:01
17bc0bc3207616ee37afd4a39b10054a,2ce9683175cdab7d1c95bcbb3e36f478,1,,"meu produto não chegou ,prazo de entrega de 34 dias e mesmo assim nao foi entregue ,não recomendo",2016-11-27,2016-12-04 00:03:47
